date,temperature_2m,relative_humidity_2m,apparent_temperature,surface_pressure,wind_direction_10m,wind_speed_10m,soil_temperature_0cm,soil_moisture_0_to_1cm,pressure_msl,showers,rain,dew_point_2m,snowfall,snow_depth,cloud_cover
2023-06-01 00:00:00+00:00,11.3545,85.0,10.326814,1004.37695,230.71062,5.1165614,10.3545,0.233,1019.3,0.0,0.0,8.9226265,0.0,0.0,95.0
2023-06-01 01:00:00+00:00,11.054501,82.0,9.899742,1004.06555,241.38963,4.510787,10.0045,0.234,1019.0,0.0,0.0,8.098161,0.0,0.0,100.0
2023-06-01 02:00:00+00:00,10.7545,81.0,9.38697,1003.65594,245.22488,5.154415,9.8545,0.234,1018.6,0.0,0.0,7.6249866,0.0,0.0,100.0
2023-06-01 03:00:00+00:00,9.9545,82.0,8.50981,1003.71265,247.3801,4.6800003,8.9545,0.235,1018.7,0.0,0.0,7.023554,0.0,0.0,100.0
2023-06-01 04:00:00+00:00,10.6545,81.0,9.332058,1003.65063,247.3801,4.6800003,10.6045,0.235,1018.6,0.0,0.0,7.527437,0.0,0.0,98.0
2023-06-01 05:00:00+00:00,12.9545,78.0,12.100809,1003.1786,255.96373,4.452954,13.6545,0.236,1018.0,0.0,0.0,9.2089815,0.0,0.0,100.0
2023-06-01 06:00:00+00:00,16.0045,69.0,14.900118,1002.44653,274.96964,8.311245,17.0545,0.235,1017.1,0.0,0.0,10.31921,0.0,0.0,88.0
2023-06-01 07:00:00+00:00,18.2045,61.0,16.672613,1002.9505,280.6196,11.720751,19.1045,0.234,1017.5,0.0,0.0,10.559523,0.0,0.0,100.0
2023-06-01 08:00:00+00:00,19.7545,54.0,18.050179,1002.5339,281.9761,12.144331,20.5045,0.232,1017.0,0.0,0.0,10.182055,0.0,0.0,100.0
2023-06-01 09:00:00+00:00,22.1045,40.0,20.351978,1002.3524,285.94547,13.1041975,23.654501,0.229,1016.7,0.0,0.0,7.873573,0.0,0.0,83.0
2023-06-01 10:00:00+00:00,23.4545,38.0,22.29664,1001.3324,285.75125,14.587776,25.2545,0.227,1015.6,0.0,0.0,8.323346,0.0,0.0,72.0
2023-06-01 11:00:00+00:00,24.5545,36.0,23.350473,1000.7933,287.6502,16.62249,26.2045,0.224,1015.0,0.0,0.0,8.500586,0.0,0.0,0.0
2023-06-01 12:00:00+00:00,24.8545,35.0,23.491005,1000.80743,284.6209,17.114204,26.0545,0.221,1015.0,0.0,0.0,8.349349,0.0,0.0,17.0
2023-06-01 13:00:00+00:00,25.154501,35.0,23.444908,1000.03284,296.56497,16.904673,26.154501,0.219,1014.2,0.0,0.0,8.613505,0.0,0.0,0.0
2023-06-01 14:00:00+00:00,25.154501,30.0,22.39229,999.83563,299.60434,18.218275,25.2045,0.217,1014.0,0.0,0.0,6.354958,0.0,0.0,0.0
2023-06-01 15:00:00+00:00,25.2545,28.0,21.841917,999.5445,293.83875,16.92383,24.3545,0.215,1013.7,0.0,0.0,5.4429617,0.0,0.0,0.0
2023-06-01 16:00:00+00:00,24.5045,27.0,20.927563,998.7203,288.00424,15.141414,22.8545,0.214,1012.9,0.0,0.0,4.2791047,0.0,0.0,10.0
2023-06-01 17:00:00+00:00,23.404501,38.0,21.09452,998.5695,331.26028,12.7279215,21.4545,0.214,1012.8,0.0,0.0,8.278867,0.0,0.0,0.0
2023-06-01 18:00:00+00:00,21.404501,43.0,19.620764,998.17773,318.1799,9.178235,19.154501,0.215,1012.5,0.0,0.0,8.308722,0.0,0.0,0.0
2023-06-01 19:00:00+00:00,18.7045,49.0,16.811436,998.53925,323.13,9.0,16.4545,0.217,1013.0,0.0,0.0,7.771948,0.0,0.0,0.0
2023-06-01 20:00:00+00:00,16.8045,51.0,14.66176,998.7412,325.0079,8.78872,15.1045,0.218,1013.3,0.0,0.0,6.607528,0.0,0.0,0.0
2023-06-01 21:00:00+00:00,15.4045,64.0,13.941803,999.36115,360.0,7.5599995,14.1545,0.219,1014.0,0.0,0.0,8.628039,0.0,0.0,0.0
2023-06-01 22:00:00+00:00,14.1545,76.0,13.006622,999.5936,354.80566,7.9526596,13.304501,0.22,1014.3,0.0,0.0,9.98522,0.0,0.0,0.0
2023-06-01 23:00:00+00:00,13.1545,79.0,12.175859,1000.1337,342.64587,6.0347,12.3545,0.222,1014.9,0.0,0.0,9.592833,0.0,0.0,0.0
